"","AF","PY","TC"
"166","DOWDY, ART;PELTIER, COREY;TINCANI, MATT;SCHNEIDER, W. JOEL;HANTULA, DONALD A.;TRAVERS, JASON C.",2021,10
"167","SADEGHI, RAMIN;MOKHBER, NAGHMEH;MAHMOUDI, LEILI ZARIF;ASGHARIPOUR, NEGAR;SEYFI, HAMID",2015,12
"168","SOLOMON, BENJAMIN GEORGE",2014,40
"169","FEDEWA, MEGAN;WATKINS, LACI;BARNARD-BRAK, LUCY;AKEMOGLU, YUSUF",NA,0
"170","MA, HSEN-HSING",2009,29
"171","SONMEZ, MINE;DIKEN, IBRAHIM H.",2010,1
"172","RAKAP, SALIH;RAKAP, SERIFE",2014,20
"173","KAVALE, KA;MATHUR, SR;FORNESS, SR;QUINN, MM;RUTHERFORD, RB",2000,16
"174","FELVER, JOSHUA C.;CLAWSON, ADAM J.;ASH, TORY L.;MARTENS, BRIAN K.;WANG, QIU;SINGH, NIRBHAY N.",2022,4
"175","OWENS, CORINA M.;FERRON, JOHN M.",2012,28
"176","MOEYAERT, MARIOLA;KLINGBEIL, DAVID A.;RODABAUGH, EMILY;TURAN, MERVE",2021,13
"177","NEELY, LESLIE C.;GANZ, JENNIFER B.;DAVIS, JOHN L.;BOLES, MARGOT B.;HONG, EE REA;NINCI, JENNIFER;GILLILAND, WHITNEY D.",2016,33
"178","GANZ, J. B.;PUSTEJOVSKY, JAMES E.;REICHLE, JOE;VANNEST, KIMBERLY J.;FOSTER, MARGARET;PIERSON, LAUREN M.;WATTANAWONGWAN, SANIKAN;BERNAL, ARMANDO J.;CHEN, MAN;HAAS, APRIL N.;LIAO, CHING-YI;SALLESE, MARY ROSE;SKOV, RACHEL;SMITH, S. D.",NA,0
"179","MACGOWAN, MARK J.;WONG, STEPHEN E.",2014,6
"180","WISEMAN, KAYLIE V.;MCARDELL, LAURA E.;BOTTINI, SUMMER B.;GILLIS, JENNIFER M.",2017,9
"181","MAXFIELD, TREVOR;PARK, EUN-YOUNG;BLAIR, KWANG-SUN CHO",NA,0
"182","CATAGNUS, ROBYN M.;GARCIA, YORS A.;ZHANG, DOROTHY X.",NA,0
"183","KINUGASA, T;CERIN, E;HOOPER, S",2004,57
"184","DAVIS, DAWN H.;GAGNE, PHILL;FREDRICK, LAURA D.;ALBERTO, PAUL A.;WAUGH, REBECCA E.;HAARDOERFER, REGINE",2013,25
"185","WOLERY, MARK;BUSICK, MATTHEW;REICHOW, BRIAN;BARTON, ERIN E.",2010,179
"186","KENT-WALSH, JENNIFER;MURZA, KIMBERLY A.;MALANI, MELISSA D.;BINGER, CATHY",2015,97
"187","OLUM, RONALD;BALUKU, JOSEPH BARUCH;OKIDI, RONALD;ANDIA-BIRARO, IRENE;BONGOMIN, FELIX",2020,3
"188","BECRAFT, JESSICA L.;BORRERO, JOHN C.;SUN, SHUYAN;MCKENZIE, ANLARA A.",2020,8
"189","BOLES, MARGOT;GANZ, JENNIFER;HAGAN-BURKE, SHANNA;HONG, EE REA;NEELY, LESLIE C.;DAVIS, JOHN L.;ZHANG, DALUN",2019,7
"190","LEI, QINGLI;MASON, ROSE A.;XIN, YAN PING;DAVIS, JOHN L.;DAVID, MARIE;LORY, CATHARINE",2020,5
"191","ONGHENA, PATRICK;MAES, BEA;HEYVAERT, MIEKE",2019,23
"192","VIEIRA, RUTE;MCDONALD, SUZANNE;ARAUJO-SOARES, VERA;SNIEHOTTA, FALKO F.;HENDERSON, ROBIN",2017,39
"193","STEED, ELIZABETH A.;BARTON, ERIN E.;STRAIN, PHILLIP S.",2021,1
"194","ZABALA, ARANTZAZU;SALGUEIRO, MONIKA;SAEZ-ATXUKARRO, OIHANE;BALLESTEROS, JAVIER;RUIZ-IRASTORZA, GUILLERMO;SEGARRA, RAFAEL",2018,12
"195","PETIT-BOIS, MERLANDE;BAEK, EUN KYENG;VAN DEN NOORTGATE, WIM;BERETVAS, S. NATASHA;FERRON, JOHN M.",2016,19
"196","SOLOMON, BENJAMIN G.;KLEIN, SUZANNE A.;HINTZE, JOHN M.;CRESSEY, JAMES M.;PELLER, SARAH L.",2012,52
"197","WEHMEYER, MICHAEL L.;PALMER, SUSAN B.;SMITH, SEAN J.;DAVIES, DANIEL K.;STOCK, STEVEN",2008,34
"198","ZHANG, DAKE;XIN, YAN PING",2012,37
"199","PYLE, KELLINA;FABIANO, GREGORY A.",2017,24
"200","KOLLINS, SH;NEWLAND, MC;CRITCHFRELD, TS",1999,7
"201","MANOLOV, RUMEN;GUILERA, GEORGINA;SOLANAS, ANTONIO",2017,8
"202","FRAMPTON, SARAH E.;GUINNESS, KENDRA E.;AXE, JUDAH B.",2021,1
"203","MANOLOV, RUMEN;SIERRA, VICENTA;SOLANAS, ANTONIO;BOTELLA, JUAN",2014,11
"204","LONG, ANNA C. J.;MILLER, FAITH G.;UPRIGHT, JAMES J.",2019,9
"205","TEH, ELIZABETH J.;VIJAYAKUMAR, RANJITH;TAN, TIMOTHY XING JUN;YAP, MELVIN J.",2022,1
"206","MANOLOV, RUMEN;MOEYAERT, MARIOLA",2017,60
"207","MAGGIN, DANIEL M.;PUSTEJOVSKY, JAMES E.;JOHNSON, AUSTIN H.",2017,51
"208","WOLFE, KATIE;DICKENSON, TAMMIEE S.;MILLER, BRIDGET;MCGRATH, KATHLEEN V.",2019,6
"209","WALKER, VIRGINIA L.;CHUNG, YUN-CHING;BONNET, LAUREN K.",2018,32
"210","FRANZ, LEONARDO;GALLO, CHIARA;MARIONI, GINO;DE FILIPPIS, COSIMO;LOVATO, ANDREA",2021,2
"211","MC LAUGHLIN, DANIELLE;FRIEDMACHER, FLORIAN;PURI, PREM",2012,50
"212","SHADISH, WILLIAM R.",2014,53
"213","PFALLER-SADOVSKY, NICOLE;HURTADO-PARRADO, CAMILO;CARDILLO, DANIELA;MEDINA, LUCIA G.;FRIEDMAN, SUSAN G.",2020,4
"214","LI, JIANG;TIAN, JINHUI;MA, BIN;YANG, KEHU",2013,5
"215","SWANSON, HL;SACHSE-LEE, C",2000,121
"216","KENNEDY, MARY R. T.;COELHO, CARL;TURKSTRA, LYN;YLVISAKER, MARK;SOHLBERG, MCKAY MOORE;YORKSTON, KATHRYN;CHIOU, HSIN-HUEI;KAN, PUI-FONG",2008,205
"217","MCDANIEL, JENA;BRADY, NANCY C.;WARREN, STEVEN F.",2022,0
"218","BROCK, MATTHEW E.;CANNELLA-MALONE, HELEN I.;SEAMAN, RACHEL L.;ANDZIK, NATALIE R.;SCHAEFER, JOHN M.;PAGE, E. JUSTIN;BARCZAK, MARY A.;DUEKER, SCOTT A.",2017,53
"219","KRATOCHWILL, THOMAS R.;HORNER, ROBERT H.;LEVIN, JOEL R.;MACHALICEK, WENDY;FERRON, JOHN;JOHNSON, AUSTIN;COLLINS, TAI",2021,9
"220","MARGOLIS, AMANDA;GIULIANO, CHRISTOPHER",2019,13
"221","PFALLER-SADOVSKY, NICOLE;MEDINA, LUCIA;DILLENBURGER, KAROLA;HURTADO-PARRADO, CAMILO",2020,3
"222","RITTER, WILLIAM A.;BARNARD-BRAK, LUCY;RICHMAN, DAVID M.;GRUBB, LAURA M.",2018,11
"223","TARLOW, KEVIN R.;BROSSART, DANIEL F.;MCCAMMON, ALEXANDRA M.;GIOVANETTI, ALEXANDER J.;BELLE, M. CAMILLE;PHILIP, JOSHUA",2021,2
"224","MARTIN, ROBERT T.;WHYTE, JOHN",2007,28
"225","BURNS, MATTHEW;ZASLOFSKY, ANNE;KANIVE, REBECCA;PARKER, DAVID",2012,43
"226","CLOUGH, ALEXANDER J.;HILMER, SARAH N.;NAISMITH, SHARON L.;KARDELL, LUKE D.;GNJIDIC, DANIJELA",2018,13
"227","MAGGIN, DANIEL M.;SWAMINATHAN, HARIHARAN;ROGERS, HELEN J.;O'KEEFFE, BREDA V.;SUGAI, GEORGE;HORNER, ROBERT H.",2011,94
"228","JOHNSTON, MARK V.;SMITH, ROGER O.",2010,20
"229","MEGANCK, REITSKE;KRIVZOV, JURI;NOTAERTS, LIZA;WILLEMSEN, JOCHEM;KALUZEVICIUTE, GRETA;DEWAELE, ALEXIS;DESMET, MATTIAS",NA,1
"230","WOLERY, MARK",2013,54
"231","PIERCE, JOHN E.;MENAHEMI-FALKOV, MAYA;O'HALLORAN, ROBYN;TOGHER, LEANNE;ROSE, MIRANDA L.",2019,11
"232","MANOLOV, RUMEN;SOLANAS, ANTONIO",2018,5
"233","ZUCKER, DEBORAH R.;RUTHAZER, ROBIN;SCHMID, CHRISTOPHER H.",2010,104
"234","MAGGIN, DANIEL M.;BARTON, ERIN;REICHOW, BRIAN;LANE, KATHLEEN;SHOGREN, KARRIE A.",2022,6
